bag,absolute_time,relative_sec,source_node,source_topic,event_category,candidate_type,goal_x,goal_y,decision,direct_reason,clearance_m,required_clearance_m,progress_m,alignment,path_length_m,score,outcome
23july.bag,2026-07-23T21:03:11.523+05:30,3.883,target_explorer_node,/rosout,startup_final_target,final_target,1.0,24.0,configured_at_startup,"target_explorer started: final target=(1.00, 24.00) frame=map action=/navigate_to_pose",,,,,,,
23july.bag,2026-07-23T21:03:11.903+05:30,4.263,target_explorer_node,/rosout,tf_failure,,,,deferred,"Cannot look up robot pose map -> base_footprint: Lookup would require extrapolation at time 1784820791.590353, but only time 1784820791.680995 is in the buffer, when looking up transform from frame [base_footprint] to frame [map].",,,,,,,
23july.bag,2026-07-23T21:03:13.007+05:30,5.368,target_explorer_node,/rosout,goal_dispatch,final_or_frontier,-0.13,0.83,dispatched,"Sending NavigateToPose goal (-0.13, 0.83): progress=0.75 m alignment=0.984 path=0.81 m score=1.649.",,,0.75,0.984,0.81,1.649,
23july.bag,2026-07-23T21:03:13.009+05:30,5.369,target_explorer_node,/rosout,nav2_acceptance,,-0.13,0.83,accepted,"Nav2 accepted goal (-0.13, 0.83).",,,,,,,
23july.bag,2026-07-23T21:03:16.619+05:30,8.98,target_explorer_node,/rosout,action_result,,-0.13,0.83,succeeded,"NavigateToPose succeeded for (-0.13, 0.83).",,,,,,,SUCCEEDED
23july.bag,2026-07-23T21:03:16.707+05:30,9.068,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,-0.4,3.28,rejected,"Rejected frontier (-0.40, 3.28): endpoint clearance 1.13 m is below required 1.70 m.",1.13,1.7,,,,,
23july.bag,2026-07-23T21:03:16.708+05:30,9.069,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,-0.85,3.33,rejected,"Rejected frontier (-0.85, 3.33): endpoint clearance 0.74 m is below required 1.70 m.",0.74,1.7,,,,,
23july.bag,2026-07-23T21:03:16.708+05:30,9.069,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,0.15,3.48,rejected,"Rejected frontier (0.15, 3.48): endpoint clearance 1.57 m is below required 1.70 m.",1.57,1.7,,,,,
23july.bag,2026-07-23T21:03:16.709+05:30,9.07,target_explorer_node,/rosout,endpoint_clearance_rejection,frontier,-0.55,3.98,rejected,"Rejected frontier (-0.55, 3.98): endpoint clearance 0.83 m is below required 1.70 m.",0.83,1.7,,,,,
23july.bag,2026-07-23T21:03:16.714+05:30,9.075,target_explorer_node,/rosout,no_reachable_frontier,,,,no_goal,Nav2 found no reachable safe frontier candidate.,,,,,,,
