bag,bag_path,storage,bag_start,bag_duration_sec,bag_message_count,topic,message_type,topic_message_count,frequency_hz
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/target_explorer/candidate_goals,visualization_msgs/msg/MarkerArray,10,0.139779
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/global_costmap/global_costmap/transition_event,lifecycle_msgs/msg/TransitionEvent,0,0.0
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/uas1/mavlink_sink,mavros_msgs/msg/Mavlink,2686,37.544618
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/global_costmap/costmap_updates,map_msgs/msg/OccupancyGridUpdate,0,0.0
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/planner_server/transition_event,lifecycle_msgs/msg/TransitionEvent,0,0.0
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/lookahead_collision_arc,nav_msgs/msg/Path,1257,17.57021
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/global_costmap/costmap,nav_msgs/msg/OccupancyGrid,83,1.160165
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/global_costmap/costmap_raw,nav2_msgs/msg/Costmap,83,1.160165
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/mavros/rc/out,mavros_msgs/msg/RCOut,28643,400.368766
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/local_costmap/costmap_updates,map_msgs/msg/OccupancyGridUpdate,0,0.0
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/local_costmap/costmap,nav_msgs/msg/OccupancyGrid,552,7.715796
23july.bag,/home/aryaman/23july.bag,sqlite3,2026-07-23T21:03:07.639+05:30,71.541545,1135406,/mavros/sim_state/attitude,sensor_msgs/msg/Imu,0,0.0
