bag,dispatch_time,relative_sec,goal_number,goal_x,goal_y,final_target_x,final_target_y,progress_m,alignment,path_length_m,score,initial_endpoint_clearance_m,physical_map_clearance_m,lethal_costmap_clearance_m,nav2_accepted,later_canceled,cancellation_reason,outcome,action_status,time_active_sec,distance_travelled_while_active_m,recoveries_triggered,direct_route_physical_blocked,direct_route_lethal_blocked,direct_route_inflated_cells,selected_route_physical_blocked,map_context_interpretation
23july.bag,2026-07-23T21:03:13.007+05:30,5.368,1,-0.13,0.83,1.0,24.0,0.75,0.984,0.81,1.649,,,,yes,no,,SUCCEEDED,SUCCEEDED,3.610423517,0.9103638937308322,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july.bag,2026-07-23T21:03:17.820+05:30,10.18,2,1.37,5.28,1.0,24.0,4.4,0.962,4.75,4.887,1.7788,1.7788,1.7788,yes,no,,SUCCEEDED,SUCCEEDED,7.270468691,4.807248090467551,0,False,False,38,False,Direct line crossed inflation-gradient cells but no physical occupied map cell; inflation is not treated as a physical curb.
23july.bag,2026-07-23T21:03:25.472+05:30,17.833,3,6.99,16.33,1.0,24.0,9.1,0.882,12.61,8.719,2.4035,2.4035,2.4035,yes,no,,SUCCEEDED,SUCCEEDED,18.710117724,12.876652285511673,0,True,True,42,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july.bag,2026-07-23T21:03:44.367+05:30,36.727,4,4.39,18.93,1.0,24.0,3.72,0.996,3.72,4.345,2.7855,2.7855,2.7855,yes,yes,latest map places an obstacle 1.26 m from the endpoint; required clearance is 1.70 m.,CANCELED,CANCELED,3.859737003,2.6985566743933074,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july.bag,2026-07-23T21:03:48.510+05:30,40.87,5,4.74,17.03,1.0,24.0,-0.04,0.124,2.2,-0.137,1.7711,1.7711,1.9826,yes,yes,latest map places an obstacle 1.64 m from the endpoint; required clearance is 1.70 m.,CANCELED,CANCELED,1.108754464,0.65743335369841,0,True,False,63,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july.bag,2026-07-23T21:03:49.829+05:30,42.189,6,0.09,22.98,1.0,24.0,5.76,0.982,7.19,6.026,1.8745,1.8745,1.9324,yes,yes,latest map places an obstacle 1.55 m from the endpoint; required clearance is 1.70 m.,CANCELED,CANCELED,1.768966474,1.2079183479382458,0,True,True,59,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july.bag,2026-07-23T21:03:51.925+05:30,44.286,7,-0.24,24.53,1.0,24.0,5.01,0.995,7.51,5.256,2.04,2.04,2.04,yes,yes,latest map places an obstacle 0.71 m from the endpoint; required clearance is 1.70 m.,CANCELED,CANCELED,1.798125799,1.087039510939733,0,True,True,57,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july.bag,2026-07-23T21:03:54.031+05:30,46.392,8,-1.04,25.38,1.0,24.0,2.72,0.99,7.46,2.967,1.865,1.9055,1.865,yes,no,,SUCCEEDED,SUCCEEDED,10.808384025,7.1891795578665345,0,True,True,52,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july.bag,2026-07-23T21:04:05.236+05:30,57.597,9,0.36,19.43,1.0,24.0,-2.32,0.737,6.21,-2.206,1.9821,1.9821,1.9821,yes,no,,ACTIVE_OR_INTERRUPTED_AT_BAG_END,,13.940069021,3.162228644451547,0,False,False,4,False,Direct line crossed inflation-gradient cells but no physical occupied map cell; inflation is not treated as a physical curb.
23july1.bag,2026-07-23T21:17:10.958+05:30,6.634,1,0.15,0.83,0.0,27.0,0.73,0.985,0.76,1.64,,,,yes,no,,SUCCEEDED,SUCCEEDED,2.710726327,0.487818162023831,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july1.bag,2026-07-23T21:17:13.771+05:30,9.448,2,1.45,3.93,0.0,27.0,3.24,0.926,3.13,3.851,13.1437,13.1437,,yes,no,,SUCCEEDED,SUCCEEDED,5.010318443,3.5228615550058757,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july1.bag,2026-07-23T21:17:19.294+05:30,14.97,3,8.6,14.73,0.0,27.0,8.18,0.797,13.33,7.64,1.1689,1.1689,1.1689,yes,no,,SUCCEEDED,SUCCEEDED,19.358898818,13.080824869796745,0,True,True,44,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july1.bag,2026-07-23T21:17:38.953+05:30,34.629,4,6.0,20.18,0.0,27.0,5.99,0.985,6.22,6.349,0.5352,0.5352,0.5352,yes,no,,SUCCEEDED,SUCCEEDED,9.707613166,6.385787555603195,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july1.bag,2026-07-23T21:17:49.147+05:30,44.823,5,-1.19,23.73,0.0,27.0,5.75,0.927,8.85,5.791,1.0207,1.0207,1.0697,yes,no,,SUCCEEDED,SUCCEEDED,12.810397946,8.586742560447876,0,True,True,103,True,"Both direct and selected straight segments intersected occupied or lethal cells; the full Nav2 path, not the endpoint chord, determines reachability."
23july1.bag,2026-07-23T21:18:02.173+05:30,57.85,6,0.0,27.0,0.0,27.0,3.64,1.0,3.64,4.278,1.589,1.589,1.589,yes,no,,SUCCEEDED,SUCCEEDED,5.808093884,3.862586086660579,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july2.bag,2026-07-23T21:20:30.043+05:30,3.313,1,-0.15,0.89,0.0,27.0,0.83,0.993,0.93,1.73,,,,yes,no,,SUCCEEDED,SUCCEEDED,1.460529077,0.7655408271291647,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july2.bag,2026-07-23T21:20:31.576+05:30,4.846,2,0.21,5.64,0.0,27.0,4.9,0.999,4.52,5.442,0.5141,0.5141,2.8612,yes,no,,SUCCEEDED,SUCCEEDED,7.320481846,5.09651853488482,0,True,False,0,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july2.bag,2026-07-23T21:20:39.062+05:30,12.332,3,8.51,14.94,0.0,27.0,6.63,0.743,12.37,6.141,0.5594,0.5594,0.5594,yes,no,,ABORTED,6 (ABORTED),123.730951096,30.792974129705076,19,True,True,44,True,"Both direct and selected straight segments intersected occupied or lethal cells; the full Nav2 path, not the endpoint chord, determines reachability."
23july3.bag,2026-07-23T21:24:51.017+05:30,3.99,1,0.03,0.92,0.0,27.0,0.86,1.0,0.84,1.779,,,,yes,no,,SUCCEEDED,SUCCEEDED,3.560620679,0.8687804612014463,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july3.bag,2026-07-23T21:24:54.636+05:30,7.609,2,0.08,4.77,0.0,27.0,4.1,1.0,4.13,4.684,4.674,4.674,4.674,yes,no,,SUCCEEDED,SUCCEEDED,5.710457477,4.198065920884221,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july3.bag,2026-07-23T21:25:00.626+05:30,13.599,3,8.47,17.62,0.0,27.0,9.75,0.838,15.8,9.008,0.8884,0.8884,0.9243,yes,no,,SUCCEEDED,SUCCEEDED,23.259196636,15.447634436219579,0,True,True,78,False,"Direct final-target line crossed recorded physical occupied cells; the selected segment avoided them, supporting a geometric detour."
23july3.bag,2026-07-23T21:25:24.090+05:30,37.063,4,4.82,22.02,0.0,27.0,5.53,0.997,5.59,5.969,1.0135,1.0135,1.0135,yes,no,,ACTIVE_OR_INTERRUPTED_AT_BAG_END,,41.401436158,6.96585009166972,1,False,False,35,False,Direct line crossed inflation-gradient cells but no physical occupied map cell; inflation is not treated as a physical curb.
23july4.bag,2026-07-23T21:47:14.913+05:30,1.839,1,0.25,0.84,0.0,15.0,0.75,0.95,0.77,1.625,,,,yes,no,,SUCCEEDED,SUCCEEDED,1.761202009,0.5331512107078227,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july4.bag,2026-07-23T21:47:17.835+05:30,4.761,2,0.03,4.74,0.0,15.0,3.86,1.0,3.97,4.467,1.1768,1.1768,1.1768,yes,no,,SUCCEEDED,SUCCEEDED,6.51078563,4.134240388877938,0,False,False,26,False,Direct line crossed inflation-gradient cells but no physical occupied map cell; inflation is not treated as a physical curb.
23july4.bag,2026-07-23T21:47:24.500+05:30,11.426,3,0.0,15.0,0.0,15.0,10.25,1.0,10.27,10.221,2.4128,2.4128,2.4994,yes,no,,SUCCEEDED,SUCCEEDED,15.710184659,10.8329921329319,0,False,False,0,False,Cell-center sampling did not show a direct-line physical/lethal block at this instant; logs and planned-path reachability remain the stronger decision evidence.
23july4.bag,2026-07-23T21:48:05.077+05:30,52.003,4,0.02,0.04,0.0,-15.0,15.02,1.0,15.06,14.518,4.1111,4.1111,4.1111,yes,no,,ACTIVE_OR_INTERRUPTED_AT_BAG_END,,61.515261309,6.312392555931019,11,False,False,2,False,Direct line crossed inflation-gradient cells but no physical occupied map cell; inflation is not treated as a physical curb.
