bag,absolute_time,relative_sec,source_node,source_topic,event_category,severity,goal_x,goal_y,action_status,path_pose_count,path_length_m,message,active_goal_number
23july.bag,2026-07-23T21:03:11.903+05:30,4.263,target_explorer_node,/rosout,tf,WARN,,,,,,"Cannot look up robot pose map -> base_footprint: Lookup would require extrapolation at time 1784820791.590353, but only time 1784820791.680995 is in the buffer, when looking up transform from frame [base_footprint] to frame [map].",
23july.bag,2026-07-23T21:03:11.904+05:30,4.265,target_explorer_node,/rosout,obstacle_or_costmap,INFO,,,,,,Received /global_costmap/costmap: 332x412 cells at 0.050 m/cell,
23july.bag,2026-07-23T21:03:13.002+05:30,5.363,planner_server,/rosout,planning,WARN,,,,,,No planners specified in action call. Server will use only plugin GridBased  in server. This warning will appear once.,
23july.bag,2026-07-23T21:03:13.004+05:30,5.365,/plan,/plan,path_update,RECORDED,-0.13382681875032265,0.7760125279883782,,30,0.8088,Recorded path update on /plan,
23july.bag,2026-07-23T21:03:13.007+05:30,5.368,target_explorer_node,/rosout,planning,INFO,-0.13,0.83,,,,"Sending NavigateToPose goal (-0.13, 0.83): progress=0.75 m alignment=0.984 path=0.81 m score=1.649.",1
23july.bag,2026-07-23T21:03:13.009+05:30,5.369,target_explorer_node,/rosout,nav2_state,INFO,-0.13,0.83,,,,"Nav2 accepted goal (-0.13, 0.83).",1
23july.bag,2026-07-23T21:03:13.010+05:30,5.371,/plan,/plan,path_update,RECORDED,-0.13382681875032265,0.7760125279883782,,30,0.8088,Recorded path update on /plan,1
23july.bag,2026-07-23T21:03:13.028+05:30,5.389,controller_server,/rosout,goal_started,INFO,,,,,,"Received a goal, begin computing control effort.",1
23july.bag,2026-07-23T21:03:13.028+05:30,5.389,controller_server,/rosout,nav2_state,WARN,,,,,,No goal checker was specified in parameter 'current_goal_checker'. Server will use only plugin loaded general_goal_checker . This warning will appear once.,1
23july.bag,2026-07-23T21:03:14.030+05:30,6.391,/plan,/plan,path_update,RECORDED,-0.13382681875032265,0.7760125279883782,,30,0.8088,Recorded path update on /plan,1
23july.bag,2026-07-23T21:03:14.079+05:30,6.439,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,1
23july.bag,2026-07-23T21:03:15.059+05:30,7.419,/plan,/plan,path_update,RECORDED,-0.13382681875032265,0.7760125279883782,,29,0.759,Recorded path update on /plan,1
23july.bag,2026-07-23T21:03:15.079+05:30,7.439,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,1
23july.bag,2026-07-23T21:03:16.089+05:30,8.449,/plan,/plan,path_update,RECORDED,-0.13382681875032265,0.7760125279883782,,23,0.6097,Recorded path update on /plan,1
23july.bag,2026-07-23T21:03:16.129+05:30,8.489,controller_server,/rosout,planning,INFO,,,,,,Passing new path to controller.,1
23july.bag,2026-07-23T21:03:16.407+05:30,8.768,global_costmap.global_costmap,/rosout,costmap_resize,INFO,,,,,,StaticLayer: Resizing costmap to 333 X 412 at 0.050000 m/pix,1
23july.bag,2026-07-23T21:03:16.579+05:30,8.94,controller_server,/rosout,nav2_state,INFO,,,,,,Reached the goal!,1
23july.bag,2026-07-23T21:03:16.618+05:30,8.979,bt_navigator,/rosout,goal_succeeded,INFO,,,,,,Goal succeeded,1
23july.bag,2026-07-23T21:03:16.619+05:30,8.98,target_explorer_node,/rosout,goal_succeeded,INFO,-0.13,0.83,,,,"NavigateToPose succeeded for (-0.13, 0.83).",
23july.bag,2026-07-23T21:03:16.707+05:30,9.068,target_explorer_node,/rosout,nav2_state,WARN,-0.4,3.28,,,,"Rejected frontier (-0.40, 3.28): endpoint clearance 1.13 m is below required 1.70 m.",
