bag,absolute_time,relative_sec,node,change_kind,parameter,parameter_type,value
23july.bag,2026-07-23T21:03:11.468+05:30,3.828,/target_explorer_node,new,use_sim_time,BOOL,False
23july.bag,2026-07-23T21:03:11.471+05:30,3.832,/target_explorer_node,new,goal_mode,STRING,local
23july.bag,2026-07-23T21:03:11.471+05:30,3.832,/target_explorer_node,new,global_frame,STRING,map
23july.bag,2026-07-23T21:03:11.471+05:30,3.832,/target_explorer_node,new,robot_base_frame,STRING,base_footprint
23july.bag,2026-07-23T21:03:11.471+05:30,3.832,/target_explorer_node,new,map_topic,STRING,/map
23july.bag,2026-07-23T21:03:11.472+05:30,3.832,/target_explorer_node,new,global_costmap_topic,STRING,/global_costmap/costmap
23july.bag,2026-07-23T21:03:11.472+05:30,3.833,/target_explorer_node,new,navigate_to_pose_action,STRING,/navigate_to_pose
23july.bag,2026-07-23T21:03:11.472+05:30,3.833,/target_explorer_node,new,compute_path_to_pose_action,STRING,/compute_path_to_pose
23july.bag,2026-07-23T21:03:11.472+05:30,3.833,/target_explorer_node,new,target_x,DOUBLE,1.0
23july.bag,2026-07-23T21:03:11.473+05:30,3.833,/target_explorer_node,new,target_y,DOUBLE,24.0
23july.bag,2026-07-23T21:03:11.473+05:30,3.834,/target_explorer_node,new,target_tolerance,DOUBLE,1.0
23july.bag,2026-07-23T21:03:11.473+05:30,3.834,/target_explorer_node,new,goal_progress_weight,DOUBLE,1.0
23july.bag,2026-07-23T21:03:11.474+05:30,3.835,/target_explorer_node,new,target_alignment_weight,DOUBLE,1.0
23july.bag,2026-07-23T21:03:11.474+05:30,3.835,/target_explorer_node,new,path_cost_weight,DOUBLE,0.1
23july.bag,2026-07-23T21:03:11.474+05:30,3.835,/target_explorer_node,new,minimum_target_progress_m,DOUBLE,0.0
23july.bag,2026-07-23T21:03:11.474+05:30,3.835,/target_explorer_node,new,allow_negative_progress_recovery,BOOL,True
23july.bag,2026-07-23T21:03:11.475+05:30,3.836,/target_explorer_node,new,goal_obstacle_clearance_m,DOUBLE,1.7
23july.bag,2026-07-23T21:03:11.475+05:30,3.836,/target_explorer_node,new,map_occupied_threshold,INTEGER,65
23july.bag,2026-07-23T21:03:11.476+05:30,3.836,/target_explorer_node,new,costmap_lethal_threshold,INTEGER,100
23july.bag,2026-07-23T21:03:11.476+05:30,3.837,/target_explorer_node,new,active_goal_safety_check_period_sec,DOUBLE,0.5
23july.bag,2026-07-23T21:03:11.476+05:30,3.837,/target_explorer_node,new,minimum_frontier_distance_from_robot,DOUBLE,0.5
23july.bag,2026-07-23T21:03:11.477+05:30,3.837,/target_explorer_node,new,minimum_frontier_size_m,DOUBLE,0.5
23july.bag,2026-07-23T21:03:11.477+05:30,3.838,/target_explorer_node,new,maximum_goal_samples_per_frontier,INTEGER,12
23july.bag,2026-07-23T21:03:11.477+05:30,3.838,/target_explorer_node,new,planner_timeout_sec,DOUBLE,2.0
23july.bag,2026-07-23T21:03:11.477+05:30,3.838,/target_explorer_node,new,tf_timeout_sec,DOUBLE,0.3
23july.bag,2026-07-23T21:03:11.478+05:30,3.838,/target_explorer_node,new,persistent_tf_failure_timeout_sec,DOUBLE,3.0
23july.bag,2026-07-23T21:03:15.423+05:30,7.783,/omega_controller,new,use_sim_time,BOOL,False
