bag,relative_sec,level,message
25july.bag,4.099872893,20,"target_explorer started: final target=(170.00, 202.00) frame=map action=/navigate_to_pose"
25july.bag,4.101707461,20,Received /map: 508x729 cells at 0.050 m/cell
25july.bag,4.265686279,30,"Rejected frontier (-2.06, 20.31): endpoint clearance 0.08 m is below required 0.10 m."
25july.bag,4.292314758,30,Global costmap is unavailable; deriving frontier safe goals from the SLAM occupancy grid only.
25july.bag,4.321211171,30,"Rejected frontier (5.94, 15.56): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.3686881,30,"Rejected frontier (5.74, 15.46): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.419370893,30,"Rejected frontier (5.59, 15.56): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.467716378,30,"Rejected frontier (5.64, 15.41): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.566918149,30,"Rejected frontier (5.39, 14.76): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.638524868,30,"Rejected frontier (-0.46, 20.31): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.723286419,30,"Rejected frontier (7.14, 12.86): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.784518989,30,"Rejected frontier (-0.11, 19.21): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.879018951,30,"Rejected frontier (7.29, 11.96): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,4.94883885,20,Received /global_costmap/costmap: 508x729 cells at 0.050 m/cell
25july.bag,5.001733184,30,"Rejected frontier (-1.06, 19.71): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,5.052166483,30,"Rejected frontier (7.09, 12.01): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,5.110634628,30,"Rejected frontier (-0.56, 18.86): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,5.177788304,30,"Rejected frontier (-1.36, 19.01): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=11, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=290)."
25july.bag,5.248874725,30,"Rejected frontier (-1.46, 19.06): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=10, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=291)."
25july.bag,5.338485373,30,"Rejected frontier (-1.46, 18.91): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=11, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=290)."
