bag,parameter,value
25july.bag,active_goal_safety.backward_search_step,0.1
25july.bag,active_goal_safety.confirmation_cycles,2
25july.bag,active_goal_safety.correction_cooldown,2.0
25july.bag,active_goal_safety.costmap_frame,
25july.bag,active_goal_safety.enabled,True
25july.bag,active_goal_safety.fallback_behavior,keep_original
25july.bag,active_goal_safety.goal_change_tolerance,0.1
25july.bag,active_goal_safety.lethal_cost_threshold,99
25july.bag,active_goal_safety.minimum_distance_ahead_of_robot,0.4
25july.bag,active_goal_safety.minimum_goal_reduction,0.2
25july.bag,active_goal_safety.monitor_frequency,2.0
25july.bag,active_goal_safety.path_endpoint_tolerance,0.75
25july.bag,active_goal_safety.path_maximum_age,30.0
25july.bag,active_goal_safety.safety_radius,0.65
25july.bag,active_goal_safety.treat_unknown_as_unsafe,False
25july.bag,active_goal_safety.unsafe_cost_threshold,1
25july.bag,allow_negative_progress_recovery,True
25july.bag,candidate_goals_topic,/target_explorer/candidate_goals
25july.bag,compute_path_to_pose_action,/compute_path_to_pose
25july.bag,costmap_lethal_threshold,100
25july.bag,frontier_goal_safety.backward_search_step_m,0.01
25july.bag,frontier_goal_safety.check_global_costmap,True
25july.bag,frontier_goal_safety.costmap_safety_radius_m,0.65
25july.bag,frontier_goal_safety.enabled,True
25july.bag,frontier_goal_safety.lethal_cost_threshold,99
25july.bag,frontier_goal_safety.maximum_backward_search_distance_m,3.0
25july.bag,frontier_goal_safety.maximum_safe_cost,0
25july.bag,frontier_goal_safety.minimum_distance_ahead_of_robot_m,0.4
25july.bag,frontier_goal_safety.no_safe_goal_behavior,skip_frontier
25july.bag,frontier_goal_safety.occupancy_free_threshold,10
25july.bag,frontier_goal_safety.occupancy_occupied_threshold,65
25july.bag,frontier_goal_safety.require_known_free_region,True
25july.bag,frontier_goal_safety.treat_costmap_unknown_as_unsafe,True
25july.bag,frontier_goal_safety.unknown_clearance_radius_m,0.15
25july.bag,global_costmap_topic,/global_costmap/costmap
25july.bag,global_frame,map
25july.bag,goal_mode,local
25july.bag,goal_obstacle_clearance_m,0.1
25july.bag,goal_progress_weight,1.0
25july.bag,map_occupied_threshold,65
25july.bag,map_topic,/map
25july.bag,maximum_goal_samples_per_frontier,12
25july.bag,minimum_frontier_distance_from_robot,0.6
25july.bag,minimum_frontier_size_m,0.5
25july.bag,minimum_target_progress_m,0.0
25july.bag,navigate_to_pose_action,/navigate_to_pose
25july.bag,path_cost_weight,0.1
25july.bag,persistent_tf_failure_timeout_sec,3.0
25july.bag,planner_timeout_sec,2.0
25july.bag,robot_base_frame,base_footprint
25july.bag,selected_frontier_topic,/target_explorer/selected_frontier
25july.bag,selected_goal_topic,/target_explorer/selected_goal
25july.bag,target_alignment_weight,1.0
25july.bag,target_tolerance,1.0
25july.bag,target_x,170.0
25july.bag,target_y,202.0
25july.bag,tf_timeout_sec,0.3
25july.bag,use_sim_time,False
25july2.bag,active_goal_safety.backward_search_step,0.1
25july2.bag,active_goal_safety.confirmation_cycles,2
25july2.bag,active_goal_safety.correction_cooldown,2.0
25july2.bag,active_goal_safety.costmap_frame,
25july2.bag,active_goal_safety.enabled,True
25july2.bag,active_goal_safety.fallback_behavior,keep_original
25july2.bag,active_goal_safety.goal_change_tolerance,0.1
25july2.bag,active_goal_safety.lethal_cost_threshold,99
25july2.bag,active_goal_safety.minimum_distance_ahead_of_robot,0.4
25july2.bag,active_goal_safety.minimum_goal_reduction,0.2
25july2.bag,active_goal_safety.monitor_frequency,2.0
25july2.bag,active_goal_safety.path_endpoint_tolerance,0.75
25july2.bag,active_goal_safety.path_maximum_age,30.0
25july2.bag,active_goal_safety.safety_radius,0.65
25july2.bag,active_goal_safety.treat_unknown_as_unsafe,False
25july2.bag,active_goal_safety.unsafe_cost_threshold,1
25july2.bag,allow_negative_progress_recovery,True
25july2.bag,candidate_goals_topic,/target_explorer/candidate_goals
25july2.bag,compute_path_to_pose_action,/compute_path_to_pose
25july2.bag,costmap_lethal_threshold,100
25july2.bag,frontier_goal_safety.backward_search_step_m,0.01
25july2.bag,frontier_goal_safety.check_global_costmap,True
25july2.bag,frontier_goal_safety.costmap_safety_radius_m,0.95
25july2.bag,frontier_goal_safety.enabled,True
25july2.bag,frontier_goal_safety.lethal_cost_threshold,99
25july2.bag,frontier_goal_safety.maximum_backward_search_distance_m,0.5
25july2.bag,frontier_goal_safety.maximum_safe_cost,0
25july2.bag,frontier_goal_safety.minimum_distance_ahead_of_robot_m,0.4
25july2.bag,frontier_goal_safety.no_safe_goal_behavior,skip_frontier
25july2.bag,frontier_goal_safety.occupancy_free_threshold,10
25july2.bag,frontier_goal_safety.occupancy_occupied_threshold,65
25july2.bag,frontier_goal_safety.require_known_free_region,True
25july2.bag,frontier_goal_safety.treat_costmap_unknown_as_unsafe,True
25july2.bag,frontier_goal_safety.unknown_clearance_radius_m,0.15
25july2.bag,global_costmap_topic,/global_costmap/costmap
25july2.bag,global_frame,map
25july2.bag,goal_mode,local
25july2.bag,goal_obstacle_clearance_m,0.1
25july2.bag,goal_progress_weight,1.2
25july2.bag,map_occupied_threshold,65
25july2.bag,map_topic,/map
25july2.bag,maximum_goal_samples_per_frontier,12
25july2.bag,minimum_frontier_distance_from_robot,0.6
25july2.bag,minimum_frontier_size_m,0.5
25july2.bag,minimum_target_progress_m,0.4
25july2.bag,navigate_to_pose_action,/navigate_to_pose
25july2.bag,path_cost_weight,0.1
25july2.bag,persistent_tf_failure_timeout_sec,3.0
25july2.bag,planner_timeout_sec,2.0
25july2.bag,robot_base_frame,base_footprint
25july2.bag,selected_frontier_topic,/target_explorer/selected_frontier
25july2.bag,selected_goal_topic,/target_explorer/selected_goal
25july2.bag,target_alignment_weight,1.0
25july2.bag,target_tolerance,1.0
25july2.bag,target_x,170.0
25july2.bag,target_y,202.0
25july2.bag,tf_timeout_sec,0.3
25july2.bag,use_sim_time,False
